City,Job Title,Company,Location,Summary,Salary,Date Posted,Link
Perth,Manager Data Analytics and Reporting,Public Sector Commission,West Perth,N/A,Level 8 PSCSAA,15d ago,https://www.seek.com.au/job/84178230?type=standard&ref=search-standalone&origin=cardTitle#sol=b651faa84ca32748ac0292e2b4fd536697a39bde
Perth,Data Analyst / Implementation Officer,My Implant Dentist,South Perth,N/A,N/A,1d ago,https://www.seek.com.au/job/84524330?type=standard&ref=search-standalone&origin=cardTitle#sol=931caeaa2d24a10249bbb4b960381e050335e740
Perth,Intelligence Analyst - Signals (No Experience),ADF Careers,Perth WA,N/A,"$70,000 – $90,000 per year",27d ago,https://www.seek.com.au/job/83935659?type=standard&ref=search-standalone&origin=cardTitle#sol=5ab572ab3dbbd53b0b7ee8d99827cf7a78b2756d
Perth,Data and Systems Analyst,Rio Tinto,Perth WA,N/A,Benefits designed to make life better,9d ago,https://www.seek.com.au/job/84332595?type=standard&ref=search-standalone&origin=cardTitle#sol=fe38abcdd44220e790e2912ef88e93799185defa
Perth,Data Entry Assistant - Clinical Data,Linear Clinical Research,Nedlands,N/A,N/A,1d ago,https://www.seek.com.au/job/84526591?type=standard&ref=search-standalone&origin=cardTitle#sol=450bdcdf2ef18cf20edb6d7197eac832f53b5aa4
Perth,2026 DXC Graduate Program - Data Analytics (Technical Consulting),GradConnection,Perth WA,N/A,N/A,2h ago,https://www.seek.com.au/job/84550556?type=standard&ref=search-standalone&origin=cardTitle#sol=854266339ab6b69785eb41b449a0525bb67dc9ae
Perth,Analyst - Data and Governance,Kleenheat,Murdoch,N/A,Base Salary + Superannuation + Bonus + Shares!,8d ago,https://www.seek.com.au/job/84363776?type=standard&ref=search-standalone&origin=cardTitle#sol=4ba33e77062181203d35306a0440ad04172cc5f5
Perth,Lead Data Scientist,Department of Finance,Perth WA,N/A,"Level 6, $115,824 - $127,647 pa, PSCSAA 2024",3d ago,https://www.seek.com.au/job/84466025?type=standard&ref=search-standalone&origin=cardTitle#sol=7edf21f55e0655e46a10ab6d1698ebc384c6f65c
Perth,Data and Reporting Analyst,WorkPac – Technical Professional,Perth WA,N/A,$60 – $70 per hour + super,24d ago,https://www.seek.com.au/job/83982459?type=standard&ref=search-standalone&origin=cardTitle#sol=aa788de582f14761ab2fcd2411f47bc3984796ba
Perth,Energy Data Analyst,Project Human Resources,Perth WA,N/A,N/A,7d ago,https://www.seek.com.au/job/84376135?type=standard&ref=search-standalone&origin=cardTitle#sol=ac274aed3b8db0858530669dbef07ceb8ea7193d
